id,Self+AC0-identity weight (alpha),Gender,Age of the household member,Income Quartile,Education Level,Personal net monthly income in Euros (incl. nettocat),Personal net monthly income in categories,Highest level of education irrespective of diploma,Highest level of education with diploma,Level of education in CBS (Statistics Netherlands) categories
800881,1,Male,71,4,2,1920,EUR 1501 to EUR 2000,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-
800894,1,Female,62,1,2,620,EUR 501 to EUR 1000,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-
800903,1,Male,39,4,4,2260,EUR 2001 to EUR 2500,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
800909,1,Female,32,3,4,1580,EUR 1501 to EUR 2000,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
800918,1,Female,56,1,2,635,EUR 501 to EUR 1000,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-
800930,1,Male,18,1,1,0,No income,primary school,primary school,primary school
800994,0,Male,60,2,3,1150,EUR 1001 to EUR 1500,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-
800997,1,Female,17,1,2,180,EUR 500 or less,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-
801022,1,Male,63,1,3,Prefer not to say,I prefer not to say,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-
801031,1,Male,38,4,3,2215,EUR 2001 to EUR 2500,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-
801055,1,Female,47,4,3,2000,EUR 1501 to EUR 2000,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-
801068,1,Female,34,2,4,1235,EUR 1001 to EUR 1500,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
801083,1,Female,66,2,3,690,EUR 501 to EUR 1000,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-
801141,1,Female,70,2,2,860,EUR 501 to EUR 1000,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-
801144,1,Male,43,4,4,2821,EUR 2501 to EUR 3000,wo (university),wo (university),wo (university)
801156,1,Female,59,1,1,0,No income,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,primary school,primary school
801162,1,Female,16,1,1,0,No income,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,primary school,primary school
801165,1,Female,68,3,2,1300,EUR 1001 to EUR 1500,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-
801174,0,Female,60,2,2,900,EUR 501 to EUR 1000,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-,+ACI-vmbo (intermediate secondary education, US: junior high school)+ACI-
801208,0,Female,33,3,4,1730,EUR 1501 to EUR 2000,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
801257,1,Female,18,1,3,250,EUR 500 or less,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-
801266,1,Female,19,1,2,180,EUR 500 or less,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-
801269,1,Female,68,2,4,927,EUR 501 to EUR 1000,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
801287,0,Female,55,3,2,1500,EUR 1001 to EUR 1500,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-
801300,1,Male,41,4,4,4000,EUR 3501 to EUR 4000,wo (university),+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
801327,1,Female,57,3,2,1325,EUR 1001 to EUR 1500,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-
801370,1,Male,73,2,3,1250,EUR 1001 to EUR 1500,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-,+ACI-mbo (intermediate vocational education, US: junior college)+ACI-
801373,1,Female,51,4,4,2250,EUR 2001 to EUR 2500,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
801391,1,Male,41,1,4,Prefer not to say,I prefer not to say,wo (university),wo (university),wo (university)
801412,0,Female,44,3,4,1443,EUR 1001 to EUR 1500,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-,+ACI-hbo (higher vocational education, US: college)+ACI-
801452,,Male,17,1,1,0,No income,primary school,primary school,primary school
801470,1,Female,41,3,4,1580,EUR 1501 to EUR 2000,wo (university),wo (university),wo (university)
801480,1,Female,43,3,2,1505,EUR 1501 to EUR 2000,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-,+ACI-havo/vwo (higher secondary education/preparatory university education, US: senio+ACI-
