nomem_encr,nohouse_encr,diet,theta,beta,alpha
850598,505154,meat,.31481472,.75,.25
850656,540951,meat,.27037033,.5,.5
850717,558206,veg,1,0,1
850732,537619,meat,.22222216,.75,.25
850839,525411,meat,.57777768,.5,.5
851098,549243,meat,-.055555582,.75,.25
851239,520571,meat,.33703709,.75,.25
851327,580209,meat,.66666669,1,0
851425,516671,meat,.46296296,.75,.25
851550,510653,veg,.94074076,.75,.25
851553,596524,meat,.20370372,.75,.25
851681,534872,meat,.7296297,.75,.25
851821,566223,meat,.10370366,.5,.5
851828,556985,veg,.81481487,.5,.5
851983,569976,meat,.52962953,.75,.25
852154,559002,meat,.71481484,.75,.25
852175,570877,meat,-.1740741,.75,.25
852416,594927,meat,-.037037056,.75,.25
852523,588693,meat,.19629622,.75,.25
852886,526257,meat,.45185184,.75,.25
853039,564819,meat,.09629631,.75,.25
853695,590216,meat,.4148148,.75,.25
853701,569097,meat,.22592592,.5,.5
853930,585855,meat,.9333334,.75,.25
853964,527667,meat,1,1,0
854223,598071,meat,.66296291,.5,.5
854312,592874,meat,.40740743,1,0
854348,588809,meat,.4148148,.75,.25
854370,523748,meat,.91111106,.75,.25
854495,532662,veg,.55555552,1,0
854708,500073,meat,.36666664,.5,.5
855010,541680,meat,-.44814816,.75,.25
855184,532409,meat,.60370368,.5,.5
855194,533248,meat,.9333334,1,0
855477,508453,meat,.070370354,.25,.75
855627,573181,meat,.48148155,.75,.25
855728,558560,meat,.57037038,.5,.5
855929,542843,meat,.055555504,.5,.5
855963,512866,meat,.55925924,.75,.25
856439,534591,meat,.95555562,1,0
856655,526275,meat,1,.5,.5
856753,561035,meat,.28888893,.5,.5
857073,520367,meat,.30370364,.75,.25
857086,500512,meat,.85185176,.5,.5
857321,599566,meat,.21481483,.25,.75
857415,592828,meat,.48888889,.5,.5
857424,513095,meat,-.12592594,.25,.75
857568,568930,meat,.4333334,.75,.25
857855,553353,meat,-.13703704,.75,.25
857867,517120,meat,.69629622,.5,.5
858059,500073,meat,.35185179,.75,.25
858108,534851,meat,.10000006,.5,.5
858340,564352,meat,.65925932,.5,.5
858691,568164,veg,1,.75,.25
858737,554681,meat,.71851856,.5,.5
858776,505050,meat,.43703699,.75,.25
858813,511361,meat,.4333334,.5,.5
859240,559609,meat,.33703709,1,0
859298,565805,meat,.74074078,.5,.5
859381,505786,meat,.47777781,.5,.5
859567,566223,meat,.0074075065,.75,.25
859658,575888,meat,.92222232,.5,.5
859738,581805,meat,.52592593,.75,.25
860040,561035,meat,.27037033,.75,.25
860189,551770,meat,.51481485,.5,.5
860217,583465,meat,.85185176,.75,.25
860586,572396,meat,.74444437,.5,.5
861083,543356,meat,.044444401,.5,.5
861111,594506,meat,-.12962961,.75,.25
861257,517266,meat,.62222224,.75,.25
861343,569403,meat,.68148154,.75,.25
861373,589538,meat,.055555504,.25,.75
